grid_id,mean_hag,median_hag,pct_elevated,n_bldg_hag
34.4_-79.0,3.5997,3.42,1.0,483
34.4_-79.1,3.6441,3.37,1.0,1529
34.4_-79.2,3.4353,3.1872,1.0,698
34.5_-79.0,3.3161,3.1887,0.9967,2409
34.5_-79.1,3.6506,3.37,0.9997,3745
34.5_-79.2,3.6204,3.34,0.9995,1825
34.5_-79.3,3.4116,3.2193,0.9992,1308
34.7_-79.0,3.3389,3.1509,0.9987,4741
34.7_-79.1,3.3782,3.1108,0.9996,4876
34.7_-79.2,3.1975,3.01,0.9972,6382
34.7_-79.3,3.221,3.052,0.9924,3297
34.8_-79.0,3.4196,3.1604,0.9991,3349
34.8_-79.1,3.4601,3.1973,0.9991,3485
35.0_-77.7,3.7665,3.5,1.0,581
35.2_-76.7,3.4472,3.2288,1.0,3
35.2_-76.8,3.3014,3.3871,1.0,9
35.2_-77.5,3.5401,3.3304,0.9989,918
35.2_-77.6,3.5992,3.3968,0.9942,3462
35.2_-77.7,3.6724,3.4453,0.9992,2588
35.2_-77.8,3.8339,3.5699,0.9965,1729
35.2_-78.0,3.5884,3.271,1.0,2111
35.2_-78.1,3.595,3.3405,1.0,4107
35.2_-78.2,3.6331,3.3692,1.0,679
35.3_-76.6,3.203,3.0843,1.0,86
35.3_-76.7,3.4528,3.3032,1.0,386
35.3_-76.8,3.4384,3.2784,1.0,918
35.3_-77.0,3.4472,3.1764,1.0,76
35.3_-77.5,3.6577,3.4378,0.9978,2313
35.3_-77.8,3.6235,3.4463,1.0,4163
35.3_-78.0,3.9767,3.6258,0.997,6649
35.3_-78.1,3.9672,3.7128,1.0,4187
35.4_-76.6,3.4283,3.2853,1.0,503
35.4_-76.7,3.578,3.423,0.9987,744
35.4_-76.8,3.8607,3.6186,1.0,601
35.4_-77.0,4.3088,3.7855,1.0,768
35.4_-77.1,3.4604,3.29,1.0,590
35.4_-78.0,3.8051,3.4867,0.9958,14409
35.4_-78.1,3.7922,3.5372,0.9996,4895
35.5_-76.5,3.507,3.4683,1.0,69
35.5_-76.6,3.4958,3.3428,1.0,1225
35.5_-76.7,3.4564,3.3132,1.0,1020
35.5_-76.8,3.9345,3.4941,1.0,1312
35.5_-77.0,3.9165,3.588,0.9979,5349
35.5_-77.1,3.843,3.5836,1.0,3521
35.5_-78.0,3.7726,3.5038,1.0,6379
35.7_-77.1,3.4465,3.33,1.0,350
35.7_-77.5,4.2475,3.99,1.0,4
35.7_-77.6,3.7068,3.44,1.0,539
35.7_-77.7,3.8063,3.64,1.0,735
35.8_-77.5,3.3888,3.2,1.0,1228
35.8_-77.6,3.8157,3.55,1.0,2663
35.8_-77.7,3.851,3.615,1.0,1982
35.8_-77.8,3.8374,3.53,1.0,58
35.9_-77.5,3.5793,3.34,1.0,4839
35.9_-77.6,3.8441,3.53,1.0,3737
35.9_-77.7,3.8227,3.53,1.0,2563
35.9_-77.8,3.6992,3.45,1.0,7486
